FONTES,IDENTIFICAÇÃO,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
PETRÓLEO E LGN,PETRÓLEO,-25535.85468,-27087.068189999998,-32312.49,-38585.82084,-41273.489385,-44830.04904,-47517.074596,-48812.138,-54419.83766,-56632.59616,-55351.38708,-53917.056946000004,-53549.799156,-51872.233722,-55279.789082999996,-55764.169714,-59389.53122999999,-60835.46165999999,-61084.631032000005,-61449.25887,-60709.09552600001,-58869.456232000004,-61303.345064,-61927.676960000004,-65445.452448000004,-63881.11505000001,-68437.040928,-73558.35276000001,-79198.151112,-81872.305,-82840.05601799999,-85752.07028799999,-83784.50405999999,-83551.62359999999,-88953.872,-88873.3315054755,-90144.921,-91806.73190509091,-92968.857,-93461.619,-93618.81514898462,-96167.17925697744,-101446.79243058711,-108607.467222,-110678.67090545999,-103927.005686584,-96793.29702365001,-92791.22696989747,-90904.19610207893,-91107.64729299946,-94895.97495911963
ÓLEO DIESEL,PETRÓLEO,5674.613224954129,6065.551981651376,7628.449686605505,8748.11200293578,9661.15975706422,10643.650579816514,12041.942492477065,13258.482176146788,14650.772835963304,15247.468833027524,16731.67752,15866.777635359118,16777.36699756906,16681.63150470914,17759.432328531853,17702.67093383038,19757.755194827012,20980.344654,21458.16847748381,21477.848184000002,21057.846264000003,20691.004873227907,21068.883013060466,20329.6697856,22806.77418150698,22487.23206786977,23272.59170411163,24309.579871255813,25290.08355305164,26905.31883,26187.913920000003,27128.438400000003,27316.624,29867.408,33254.32,32559.86196672,32783.9344,33210.9024,34832.871999999996,35992.512,35132.01529536,36478.076799999995,38915.015952,42219.612592,42514.712351999995,42248.436111999996,38575.095151999994,34466.036528,35514.63432,34695.791952,35798.423456000004
ÓLEO COMBUSTÍVEL,PETRÓLEO,8399.234708737864,9216.606809708737,10859.635188349514,12913.190545631067,13382.627225242719,14323.341512621359,15104.284594951458,15513.092695922332,17091.93777553398,17200.953269126217,16461.054747961167,15477.216972815537,13774.992074563104,12234.559164179107,12043.418679402985,11897.8717,12852.335665048542,12168.29952,11792.2752,12102.591061248762,12212.042821010902,11648.245572249753,12317.431679999998,11969.998829732409,12183.852958572845,12027.350618830525,13783.870667988107,15334.313102081269,17448.408,16825.655,16947.448,17963.029,17082.8588,15926.113,16537.954999999998,15605.35274099997,15807.197,15853.4208,15697.679199999999,14520.41672481818,14246.952121731007,13385.195759124086,13846.223391,14723.210535,16125.576323999998,14188.422666,11506.468445999999,11730.442812,10838.198217,11709.909879525396,16763.39577
GASOLINA,PETRÓLEO,7359.688439999998,7855.029758918918,8947.102572972972,10143.661446486485,10401.393726486484,11210.967194594592,11373.94656,10238.793134594596,11107.428582162163,10681.65978,8585.618171351352,8943.128017297298,9050.53135135135,8022.427607444344,9034.58859611754,8956.258243752267,9220.310367419901,9504.261564170545,9504.506408609865,9254.432824074313,8944.737126537611,8928.438701937734,9628.89653270558,11431.11998708999,11553.58441711988,11431.872563642997,12490.829129171148,14067.463966768188,15460.6367,14331.2034,14470.6676,15020.4576,14506.303000000002,13657.756,14196.7,14762.3644,15632.085,15994.127317,15618.332058,15266.1901,16628.52922171,18139.254,19905.152325169813,22103.778865,22302.892626,19864.453098,20467.170556,20230.728686000002,18289.55576,18393.81236,16714.789518
GASOLINA AUTOMOTIVA,PETRÓLEO,7359.688439999998,7855.029758918918,8947.102572972972,10143.661446486485,10401.393726486484,11210.967194594592,11373.94656,10238.793134594596,11107.428582162163,10681.65978,8585.618171351352,8943.128017297298,9050.53135135135,8022.427607444344,9034.58859611754,8889.083195294117,9147.910592970562,9443.057631130898,9436.612068161434,9184.268391428572,8888.554722994653,8882.26138395722,9597.342032085562,11362.623632085562,11473.543732620323,11361.836964705884,12425.411262032087,14008.972697326204,15377.4479,14257.173,14405.0324,14949.48,14452.130000000001,13602.82,14135.66,14708.801800000001,15582.49,15946.7,15566.474,15225.98,16559.77986971,18095.0,19845.938947169812,22032.29721,22231.35222,19809.14628,20426.04333,20185.206580000002,18254.2899,18393.81236,16713.098710000002
GASOLINA DE AVIAÇÃO,PETRÓLEO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.17504845814977,72.3997744493392,61.20393303964757,67.8943404484305,70.16443264573991,56.18240354295838,46.177317980513735,31.55450062001772,68.49635500442871,80.04068449955714,70.0355989371125,65.41786713906113,58.491269441984066,83.1888,74.0304,65.6352,70.9776,54.173,54.936,61.04,53.5626,49.595,47.427317,51.85805799999999,40.210100000000004,68.749352,44.254,59.213378,71.481655,71.540406,55.30681800000001,41.127226,45.522106,35.265859999999996,0.0,1.690808
GÁS LIQUEFEITO DE PETRÓLEO,PETRÓLEO,984.1121001680674,1054.7568514285717,1177.0029862184876,1508.7261660504205,1548.6558080672273,1839.2207415126054,1912.3227015126054,1943.0378107563029,2380.420966386555,2533.9965126050424,2710.9152,2789.9388091603046,2579.447890076335,2759.056264450128,3012.2431641943735,3172.2549606138105,3130.693976020408,3316.9059310344824,3100.3176384000003,3323.052009207161,3478.224719795745,3366.023922382979,3630.497230570213,3870.3110228425535,4010.8702635574473,3811.1281846468087,3748.24641906383,3613.2355694297876,3646.3844999999997,4104.48225,4252.4548,4556.1615,4660.708,4834.843,4985.76,5449.97672004659,5070.689,5127.512,5078.9375,4817.0018,4692.750867874277,4846.148944,5098.783165999999,4946.29859,4651.305832999999,4581.620102999999,4491.72829,4570.192649777017,4547.917399999999,4445.895675,4496.072217
NAFTA,PETRÓLEO,68.70916799999998,52.31266199999998,542.6462699999998,1286.7353279999995,1670.1012539999995,1724.7562739999994,1792.8108539999998,1847.8752479999998,2421.4030919999996,2914.8372719999998,3041.57073,3474.288651583711,3697.4403529411766,4563.6161142857145,4700.833714285714,5444.975314285714,5869.1718120000005,6124.937067606876,5951.906102535211,6272.326440635481,6276.968,5570.9617499999995,5295.4285,5340.46025,5535.85225,5196.96925,4997.7609999999995,5471.07275,5520.651454358974,7735.49352,7852.5936,7728.605280000001,6712.875,6848.28,6719.76,6527.446650000001,6599.043000000001,7108.93233,6222.54672,6458.971499999999,5625.682994700001,4880.7,4950.930060000001,4114.181475,3903.9112800000003,3545.4995999999996,2452.21056,2388.0576600000004,3127.394205,3452.7586500000007,4766.3416799999995
QUEROSENE,PETRÓLEO,1307.212076477064,1338.2873207339449,1391.4725419816514,1673.2144882568805,1771.3911491009171,1909.7242718532107,2012.0948689541283,2058.7893417247706,2356.8608761100913,2631.179896183486,2724.7639950000003,3066.7653000000005,3143.9430720000005,2895.3337066727768,3471.801373045421,3269.78925,2979.7759814259935,3056.578828687178,2960.2774683243238,3003.8097127849296,2739.471473832282,2706.996781460776,2579.537681334536,2571.982525266006,2497.8991890351676,2742.87390037872,2997.026001803427,2935.4071724797122,3167.625697,3122.08,3245.3199999999997,3243.6768,3166.755,3275.67,3497.6099999999997,3426.2439599999993,3111.8453999999997,3330.1579140000003,3137.290080378,3563.8632000000002,3854.3653979999995,4460.172,4477.244118,4578.362448,5006.899818,4656.01761,4765.089612,5075.438178,5245.997423999999,4991.70186,2743.898472
QUEROSENE ILUMINANTE,PETRÓLEO,637.4762124770642,589.1329007339449,545.7058579816513,666.1544482568806,571.1065811009174,525.221403853211,560.4546649541284,594.0491697247706,655.5025321100917,705.4846001834862,532.7124299999999,520.9822800000001,530.5651200000001,589.6635800904978,507.89858823529414,425.95664999999997,405.310955,425.0070146077548,420.5753980540541,314.1394015135136,203.11570322813353,180.63978524797122,154.0016602344455,213.10500010820567,134.8555078809739,129.86085944093784,112.37958990081158,69.92507816050498,56.195812000000004,64.0848,166.7848,191.4328,187.005,158.646,92.886,41.190419999999996,30.9894,20.524518,19.035546378,18.906,20.103654,25.482,19.727999999999998,12.653046,9.86811,6.079511999999999,6.303096,4.848978,4.651698,4.895832,4.3615319999999995
